id,fname,city,phone,height,Married
117,Ola,Wichita,3162415249,6.4,false
118,Hayward,Jetis,1246394288,6.6,true
119,Hubert,Shani,1902066618,6.6,true
120,Wilmette,Kyzylorda,8403604168,4.5,false
121,Seka,Bahía Blanca,5976640360,5.5,false
122,Kane,Ban Kruat,5965436198,4.5,false
123,Maje,Maebashi-shi,9117745480,6.2,false
124,Sherie,Kaesŏng,1603385136,7.0,true
125,Itch,Turtas,8024680885,6.3,false
126,Hobey,Josefina,7466337519,5.6,true
127,Briggs,Lubbock,8062466417,5.3,true
128,Neron,Vilhelmina,6332550186,5.0,false
129,Fredek,Jiuguan,7565985867,6.8,false
130,Anitra,Lanshan,8912718214,4.2,false
131,Susannah,Kristianstad,4818259742,6.2,false
132,Valencia,Maiduguri,4577395512,6.4,false
133,Scotty,Nanpiao,2995640499,4.1,false
134,Romain,Nagano-shi,3958451078,5.3,false
135,Linette,Quichuay,4764702586,5.1,false
136,Kasey,Americana,5735973210,5.1,false
137,Trescha,Mingzhong,1504146191,5.4,false
138,Mikel,Petaling Jaya,8904390341,6.0,false
139,Lindy,Gueset,7148283140,5.9,false
140,Dugald,Protección,8503442108,6.7,false
141,Porter,Lubuagan,4281544375,5.7,true
142,Bradford,Fengshan,9283515281,5.0,true
143,Forster,Voiron,6066143783,5.3,true
144,Amandy,Ercheng,5035711512,4.4,false
145,Jacky,Klobuky,4462876780,5.9,false
146,Galven,Krasnyy Oktyabr’,8304945647,6.4,false
147,Lissie,Minas de Oro,6579359880,6.3,false
148,Arda,Birātnagar,5422619965,5.3,false
149,Michale,Ipaba,3646759658,4.9,false
150,Feliza,Paripiranga,6176460133,5.2,true
151,Ashely,Guayaquil,5384671814,5.0,true
152,Florella,Kota Kinabalu,4801018015,5.1,false
153,Wittie,Bangelan,4867450715,5.4,true
154,Jake,Pyapon,1084724298,4.9,false
155,Kailey,Podkumskiy,6516058118,5.7,false
156,Alysia,Nakhon Sawan,1913554252,4.9,false
157,Pauly,Lafayette,3377301570,4.2,false
158,Wynn,Priozërsk,7914186732,6.7,true
159,Dulcie,Louisville,5025394841,6.5,true
160,Valli,Dajing,7126280495,6.7,true
161,Mirna,Pataha,4066952270,4.9,false
162,Maris,Baitu,7013152951,6.6,true
163,Celisse,Bazi,4996295605,5.3,false
164,Ferne,El Rancho,8865830402,5.2,false
165,Norah,Pawłosiów,8298427908,5.2,true
166,Irita,Macaíba,1148662107,4.4,true
167,Anna-maria,Pjanići,7308442336,6.3,false
168,Aubrey,Lipin Bor,4798782212,4.3,true
169,Magda,Puqi,2023653067,5.8,true
170,Terence,San Miguel,1657332083,5.4,false
171,Harmon,Yakymivka,5805990003,6.6,false
172,Bent,Kolindrós,3111229699,5.3,false
173,Roxie,Nancheng,6345664729,6.5,false
174,Bibbye,Jianrao,2372721384,6.8,false
175,Ede,Chepes,9035467087,4.8,true
176,Husein,Varybóbi,3565947919,5.9,false
177,Celene,Enshi,2613909057,5.5,false
178,Stacee,Etinan,3446463370,5.5,true
179,Brit,Pasauran,3248223103,6.3,true
180,Shermy,Pesqueira,9269660371,5.2,true
181,Tiff,Balneário Camboriú,2838930729,6.5,false
182,Rockwell,Tokuyama,2187277533,6.8,true
183,Shelby,Yangiyŭl,5011644976,6.7,false
184,Aloise,Huangtu,3565758417,6.0,true
185,Amandy,Iiyama,5932891463,4.9,true
186,Norry,Elói Mendes,8165818034,6.2,false
187,Hannis,Ñuñoa,5626845090,4.5,false
188,Geraldine,Daban,5163233933,6.4,false
189,Meggy,Muaralabuh,9972708625,6.1,false
190,Chrissy,Mambulo,5279267596,5.2,false
191,Lammond,Sabinópolis,8989660211,4.6,true
192,Halie,Shakhtars’k,3777222888,4.7,true
193,Colman,Leuwidamar,4017191510,5.8,false
194,Sherman,Rajūzah,7561087698,5.9,false
195,Zelma,Oster,8972891836,4.9,true
196,Frederigo,Buruanga,5371126026,5.2,true
197,Merrel,Huntsville,2567977789,6.0,true
198,Kathryne,Nogueira,7309296153,4.0,false
199,Starla,Korsun’-Shevchenkivs’kyy,1218372734,6.8,false
200,Ignazio,Huochezhan,9356801795,5.6,true
201,Sylvan,Milton,9646099958,7.0,true
202,Stephi,Ban Na,4906838800,5.1,true
203,Patricio,Kadoma,8105350629,5.7,false
204,Samaria,Nueva Cajamarca,9097829459,5.3,true
205,John,Zyuzino,9579375475,4.3,false
206,Dedra,Komaki,9853810320,5.0,false
207,Marsha,Pesek,4278864348,4.0,false
208,Lorene,Poços de Caldas,1202071127,6.7,false
209,Terrence,Banjar Dharmasemedi,6779327196,5.7,true
210,Oona,Colca,4421159609,5.2,true
211,Abbie,El Congo,9879075730,5.7,false
212,Francklin,Talibura,2606776108,6.8,false
213,Heywood,Capitán Sarmiento,9076557322,6.4,true
214,Gianni,Rudnyy,9024689057,6.7,false
215,Tracey,Araguari,7485662216,4.4,true
216,Beverly,General Levalle,1389557580,4.1,true
217,Nissie,El Retén,6325051638,6.7,false
218,Clarie,Lazaro Cardenas,7222709354,5.4,false
219,Brianne,São José dos Pinhais,2133131798,5.4,false
220,Janel,Qom,7677066117,5.2,true
221,Marian,Ivyanyets,8445619142,6.1,true
222,Daniel,Josefův Důl,2887852286,4.2,true
223,Michele,Normanton,4569698699,4.1,false
224,Dick,Tindog,4727948572,4.0,false
225,Raymond,Carmen,1321950623,6.3,true
226,Doralin,Jaruco,1149355369,4.9,true
227,Devondra,Huachos,7397518953,5.8,true
228,Carmina,Pandan,8244286087,6.3,false
229,Klara,Banqiao,6705139369,4.6,false
230,Seamus,Iligan City,4514805090,5.6,true
231,Marty,Sinarwangi,3417046680,5.9,true
232,Niccolo,Malo,6998065831,4.0,false
233,Mitchell,Svalöv,6477933850,6.9,false
234,Irwinn,Weepangali,7783526985,4.8,false
235,Mariya,Guadalupe,7682703931,5.3,false
236,Torrance,Ganjaran,3739716372,6.7,true
237,Randie,Río Colorado,3722940536,5.9,true
238,Elvyn,Cigaras,6359849628,5.8,false
239,Jaine,Cajamar,8226999289,6.3,false
240,Ricky,Gradec,3795583682,4.1,true
241,Hyatt,Powidz,6851337686,4.3,false
242,Bart,Padangcermin,7512402291,5.2,true
243,Aurthur,Soufrière,7519495058,5.8,true
244,Fifine,Gaocun,2897545542,4.2,true
245,Griffin,Weihe,9645925291,6.8,false
246,Lefty,Cibulakan,3821634739,6.5,false
247,Vinny,Mnichovo Hradiště,7037762400,5.2,true
248,Elianora,Xingguo,2574342043,5.5,true
249,Jeniece,Iwŏn-ŭp,8551087360,5.3,false
250,Reinald,Tilik,1925215788,5.9,false
251,Jacobo,Bahía Honda,7473484092,5.4,false
252,Roxie,Registro,9228704427,6.2,false
253,Rowland,Alagoinhas,1076595721,6.3,true
254,Hernando,Cachoeiras de Macacu,7926116013,4.4,true
255,Cyrill,Enschede,5248014104,4.8,true
256,Philipa,Masaran,6362653262,5.1,false
257,Hayden,Anār,6519202110,4.1,true
258,Vernen,Culasian,7566854060,6.0,true
259,Barret,Eldama Ravine,2773264055,6.8,false
260,Verine,Lodhrān,6791873167,6.0,false
261,Arne,Bayān,3197364138,4.9,true
262,Denna,Cibugel,5153943248,5.1,true
263,Carry,São Raimundo Nonato,1459617421,6.7,false
264,Fax,Itaqui,7661404893,5.6,false
265,Findlay,Watuweri,2408165741,4.0,false
266,Jarid,El Parco District,9287368334,4.0,true
267,Alta,Fengyuan,4397405724,6.8,true
268,Raul,Serdobsk,1477993236,5.6,false
269,Gerrilee,Sacramento,9162478086,6.3,true
270,Aaren,Banī Ḩassān,1162674954,6.4,false
271,Selene,Bira,8405522582,5.0,false
272,Andres,Maromitsa,5848599680,4.9,true
273,Lavina,Mihara,2005777193,6.5,true
274,Kessiah,Oliveira de Frades,1601493615,5.0,true
275,Englebert,Lazaro Cardenas,3246167858,4.5,true
276,Cicily,Curuzú Cuatiá,7581719225,6.7,true
277,Dorothee,Pasadena,6506172119,5.3,false
278,Siffre,Sandao,4022285057,5.0,false
279,Keary,Tyshkivka,7724508919,6.5,false
280,Rikki,Slobodka,7733660764,5.2,false
281,Neale,Domampot,3371619660,4.2,true
282,Leisha,Nueva Germania,4899684297,6.6,false
283,Garrard,Skrzyszów,7472394674,5.3,false
284,Ashlan,Staryy Sambor,7114026727,6.5,true
285,Dean,Itu,6993148896,4.2,true
286,Dareen,San Simón,4114996783,6.5,false
287,Genovera,Sindanghayu,1247246665,4.9,true
288,Randene,Youshan,3824549005,5.8,true
289,Darrelle,Qibu,8956842459,6.5,true
290,Sheena,Werangere,2506910021,6.9,true
291,Eduino,Huzhen,4314250436,7.0,false
292,Lorrayne,Jolo,2879009626,5.1,false
293,Cheryl,Sudo,7864647327,5.9,false
294,Brooke,Sivers’k,8936344697,4.1,false
295,Linette,Qal‘at al Andalus,1948630005,4.0,true
296,Desiree,Dobdoban,9604326127,5.5,true
297,Corby,Nyagan,6679235150,5.0,false
298,Gabi,Sexmoan,9588258494,4.8,false
299,Sabra,Thika,1206221572,5.2,true
300,Morty,Chiang Yuen,5906263495,4.6,true
301,Ilyssa,Ocumare del Tuy,1352255939,4.8,false
302,Lamar,Seremban,9517866142,6.8,false
303,Delmer,Zhouhe,7486370248,6.3,false
304,Alejandra,Al Balyanā,4138808242,4.0,true
305,Marsha,Uenohara,2756251160,5.5,true
306,Richmond,Yitulihe,9033367497,5.0,false
307,Gun,Margarita,7556358398,5.5,true
308,Gawen,Niedercorn,7609144158,5.3,true
309,Roby,Venta,6654506681,5.6,true
310,Pammie,Huanshi,3385778404,4.7,true
311,Derek,Cambebba,2226056714,5.2,false
312,Hyacinth,Ar Ramāḑīn,3709122252,4.3,false
313,Chastity,Nakkila,1416657516,6.2,false
314,Marco,Zbąszyń,1233620467,4.2,false
315,Nedda,Chinchiná,1158143453,4.7,true
316,Blondy,Ourense,8325059003,6.2,false
317,Kort,Meijiang,9605069761,5.6,true
318,Dannie,Leribe,1294419247,5.7,true
319,Saunder,Liquica,6433885552,6.5,false
320,Dynah,Rizómilos,2257646277,6.5,false
321,Nanine,Jebba,4359909830,6.4,false
322,Rhodia,Sexiong,4311999747,7.0,false
323,Artus,Pithári,4966370491,5.8,true
324,Filippo,Banyo,2441958834,5.6,true
325,Standford,Belo Oriente,1334443401,5.0,true
326,Merwyn,Akropong,4646253155,6.1,false
327,Val,Khánh Hải,1862318958,4.1,false
328,Rorke,Soloma,1209779526,5.5,true
329,Erek,Meilin,2954036495,5.5,false
330,Gregory,Tópaga,2478787245,5.2,true
331,Maura,Shuikou,1951504568,6.0,true
332,Dall,Bājitpur,9225756864,5.7,true
333,Jori,Bariri,2359178820,5.3,false
334,Shawn,Sepanjang,6619270664,4.5,false
335,Hilarius,Salimbao,2697167480,5.2,true
336,Keenan,Cihampelas,1171281434,4.7,true
337,Everett,Balogo,3126861465,5.1,true
338,Rosalia,Marseille,9074598798,4.5,true
339,Sapphira,Mboursou Léré,9243198381,6.0,true
340,Linea,Guozhuang,9671709322,5.8,false
341,Vernice,Zborovice,6381198156,4.5,true
342,Amber,Uppsala,8541135096,5.8,false
343,Milt,Měnín,8448920438,4.6,false
344,Ingmar,Tumbagaan,5113263435,4.5,true
345,Stefanie,Belize City,1133539582,5.9,false
346,Kelcey,Tuburan,9046529340,6.9,false
347,Alexandros,Qionghu,3709173577,6.7,true
348,Nataline,Dusit,4473171030,4.9,true
349,Roosevelt,Brka,4554623335,6.5,true
350,Aleen,Baishan,7931942650,6.2,true
351,Henrieta,Międzyzdroje,8405304396,4.5,false
352,Viki,Söderköping,3032540106,5.7,true
353,Byram,Baikui,1083488110,5.2,true
354,Eloise,Las Palmas,7753326053,6.8,false
355,Nona,Cereté,4001054658,6.5,true
356,Legra,Napu,6062025568,4.6,true
357,Aylmar,Banpu,5742684249,6.7,false
358,Irvine,Clones,4983855741,4.5,false
359,Hannie,Jatisari,5596725424,4.5,false
360,Pierson,Bang Khon Thi,3049181623,6.1,false
361,Maude,Novyye Gorki,8739340423,4.0,false
362,Fabio,Montesson,4072350918,6.2,true
363,Carolina,Baojiadian,2559223454,6.0,true
364,Ellyn,Quartier Morin,7608408344,6.0,false
365,Isidor,Kachug,1046939172,4.6,false
366,Karoly,Bejuco,4904434983,4.4,true
367,Adolph,Lokot’,1157625493,6.1,false
368,Marie-ann,Lae,8642618752,4.0,false
369,Jerrie,Verkhnyaya Tura,4766871072,5.4,true
370,Aveline,Qaxbaş,6331922354,5.8,false
371,Jimmie,Panghadangan,2653657772,5.3,false
372,Yolanthe,Ichuña,5491076189,4.1,false
373,Ailey,Wangkung,2698938234,7.0,false
374,Sutherland,San José de Comayagua,8896355761,6.4,true
375,Aylmer,Talagasari,6478244821,5.5,false
376,Kimbell,Fengyang Fuchengzhen,6554619104,5.9,true
377,Flinn,Luau,7624226276,4.2,false
378,Jordon,Shigu,1609748258,4.7,false
379,Vasili,Avlónas,6827870178,4.2,false
380,Kaine,Frederiksberg,2661810326,6.9,true
381,Babb,Inowrocław,2517365673,6.6,true
382,Teddy,Gadang,5995810668,6.0,false
383,Loy,Saint-Étienne,7766704857,6.1,false
384,Dasha,Tubungan,7111950335,6.7,true
385,Tallie,Przesmyki,6493743821,4.7,true
386,Darby,That Phanom,1782684380,6.1,true
387,Ellswerth,Rychvald,5453067666,5.1,true
388,Lawton,Sacramento,9168708718,6.4,false
389,Shep,Tongle,4497119894,5.5,false
390,Isaac,Jinping,9272872178,4.7,false
391,Tommie,Bugana,6836665373,6.6,false
392,Orly,Puro Pinget,5484302380,5.8,false
393,Allix,Mandepa Barat,6569328502,6.6,true
394,Martguerita,Bridgetown,4677793163,5.6,false
395,Edwina,Áno Kalentíni,7285776432,5.2,true
396,Ellswerth,Akron,3309085836,4.1,true
397,Hugibert,Plessisville,9973304904,4.3,false
398,Kennie,Kool Tengah,5587459720,5.8,false
399,Arte,Chapultepec,7398705760,4.0,false
400,Ely,Koniaków,1382375092,6.6,false
401,Francesca,Ejidal,1436378238,6.5,false
402,Cully,Kotanopan,6936239898,5.1,false
403,Selene,Spanish Wells,9501066885,4.1,true
404,Porty,Zaozhuang,2475119135,5.2,false
405,Berke,Dhaka,5777310330,6.1,true
406,Boycey,Padova,5891735083,4.8,true
407,Marketa,Port-Gentil,6663420846,5.8,true
408,Willis,Fengyang,2896003289,6.8,true
409,Dody,Campo Verde,9798829575,4.5,false
410,Reidar,Khvorostyanka,9212938878,5.6,true
411,Walker,Qiaozhuang,8606872781,6.4,false
412,Inglis,Ecroignard,6099476032,6.6,true
413,Regan,Shangyu,3244584099,4.0,false
414,Codie,Caieiras,7074281219,6.1,false
415,Riki,San Marcos,1233289433,6.7,false
416,Mildred,Lyon,5075913366,6.4,false
417,Andonis,Jelat,4046609091,4.2,true
418,Jecho,Yafan,2202298165,4.9,true
419,Sylvia,Ārān Bīdgol,6623294085,4.4,false
420,Micki,Ash Shiḩr,3546628637,4.6,true
421,Suzanne,Los Santos,5201188268,4.3,true
422,Carrie,Sangumata,6479815004,4.4,true
423,Nani,Byera Village,6064286439,6.5,true
424,Linn,Arāk,6247254485,4.3,false
425,Ermentrude,Lučina,5085017911,4.4,true
426,Lettie,Gedangan,5562143735,4.8,true
427,Bord,Cerro Blanco,1413277756,5.7,true
428,Elwood,Gaohu,5817020742,4.9,true
429,Eberhard,Fayaoué,5473623505,7.0,true
430,Myrah,São Roque,6426810349,6.1,true
431,Erick,Agua Blanca,5848226962,4.6,false
432,Nehemiah,Samokov,2829941406,6.3,true
433,Matthus,Partille,5046176490,5.1,false
434,Cord,Kiyawa,7148504846,5.5,true
435,Sascha,Selnica,3254016139,5.5,true
436,Julieta,Niš,9144048761,7.0,false
437,Felix,Belsk Duży,5157487443,5.9,true
438,Florella,Loures,1248651747,6.0,false
439,Perry,Montilla,8251971213,5.2,false
440,Percival,Cibodas,6772517458,4.0,false
441,Myrlene,Hultsfred,7132196995,6.9,false
442,Godwin,Abomey-Calavi,5618001618,6.1,true
443,Sharleen,Ratchathewi,5852230687,6.0,true
444,Alanah,Changsha,9494255130,6.7,true
445,Tommy,Kandi,5958085245,4.1,false
446,Caspar,Pavlovka,2527060236,6.6,false
447,Ive,Balong Wetan,9788346157,4.3,false
448,Judie,Al Mijlad,6452258378,6.5,true
449,Zarla,Vreshtas,5499155576,4.5,false
450,Pauline,Paris 17,5519770957,4.9,true
451,Melissa,Xuanzhou,6792517152,4.3,false
452,Abdul,Bouarouss,1905696509,4.9,false
453,Gail,San Jose,6671237041,5.7,false
454,Maurice,Suidong,7892510965,5.7,false
455,Geordie,Bulakan,6977262596,4.8,true
456,Adrienne,Göteborg,2543574827,5.8,false
457,Lena,Agen,7751969292,5.2,false
458,Fairfax,Houston,7131335439,5.3,false
459,Edgardo,Limoeiro do Ajuru,5094069534,4.8,true
460,Harri,Lagoa Seca,9694230604,6.6,true
461,Derron,San José de las Lajas,6206543375,4.2,true
462,Charmane,Dawwār Tīnjah,7014620591,6.2,false
463,Peder,Yumaguzino,7717512949,4.5,true
464,Guthrie,Kodamachō-kodamaminami,7147866918,4.6,false
465,Hewet,Saint-Jean-de-Luz,3603377539,6.7,true
466,Cassy,Vairão,4366292365,6.4,false
467,Jaimie,Tubajon,1288606338,6.8,false
468,Lyndsay,Bethlehem,6108974747,6.4,true
469,Ruggiero,Picassinos,1131249063,4.9,true
470,Paxon,Panzhuang,2931912724,4.9,false
471,Maximilianus,Manzurka,5179835603,6.7,true
472,Melania,Jardin,8652283816,5.4,true
473,Torey,Tha Ruea,1346630047,4.0,false
474,Miranda,Sunne,6093714003,6.7,true
475,Berny,Bāniyās,1987181143,4.6,true
476,Berry,Brusque,5554293208,5.3,false
477,Vivia,Chakari,1644777173,5.1,true
478,Fawne,Grugul,8599318452,5.9,false
479,Colene,Khodzha-Maston,1503848044,6.5,true
480,Corinne,Yur’yevets,9948836966,4.8,true
481,Chrysler,Perpignan,7541010371,6.2,false
482,Viviana,Bojongloa,5154537467,4.3,false
483,Myrtle,Kristiansund N,4639199691,6.5,true
484,Ram,Verkhnevilyuysk,9542939004,5.7,true
485,Leila,Almelo,6882185895,7.0,true
486,Caroline,Carpentras,6216205414,4.2,true
487,Bayard,Sakākā,5127083996,4.3,true
488,Katey,Barayong,7808671579,5.4,false
489,Kennith,Kalej,7904429056,6.1,true
490,Marie,Chusovoy,7023118336,5.0,false
491,Gordan,Juan de Acosta,4131252296,6.6,false
492,Alix,Suodenniemi,2808697388,5.6,false
493,Jerrome,Karangpawitan,7451358473,5.2,true
494,Fran,Mondokan,6329710909,4.7,false
495,Etta,Savyntsi,7454324524,4.1,true
496,Eldridge,Sidi Slimane,5947389963,5.5,true
497,Nicola,Hali,4809622891,5.0,false
498,Granny,Jinshan,7123939614,5.8,true
499,Gerrie,San Andres,9143905172,6.6,false
500,Ailene,San Martin,6174359873,6.6,false
501,Cammy,Guarda Nova,7932381966,4.5,true
502,Free,Tyoply Stan,2357878676,6.3,true
503,Aimee,Vigia,4877043644,6.0,false
504,Elsworth,Niort,1083890114,6.8,true
505,Jackqueline,Florida,7255735716,6.5,false
506,Rachelle,Konstantinovo,4224294161,4.2,true
507,Michaela,Marco,5996937738,5.6,false
508,Fowler,Springfield,2177385062,5.4,false
509,Weylin,Castleknock,9903746497,6.5,false
510,Phaedra,Valbonë,3655771473,5.0,true
511,Gino,Hoima,8014678625,6.5,true
512,Bridie,Qizhen,4304311854,5.2,false
513,Kristoffer,Capitán Bermúdez,4603172161,6.2,false
514,Ulrike,Horad Smalyavichy,3807618820,5.4,false
515,Hollis,Pétionville,3024848239,6.6,true
516,Hermina,Baidoa,8062706614,6.4,false
517,Nicko,Hengli,9151407278,4.6,false
518,Adan,Granada,8618398220,6.1,false
519,Nolan,Krasnogorskoye,4241740208,4.3,true
520,Cindi,Taoyao,9298866692,5.8,false
521,Cindra,Idritsa,5542547743,4.3,true
522,Allard,‘Arīqah,5158301820,6.8,true
523,Tonia,Maguling,2635933868,6.5,false
524,Nils,Huasta,1207162069,4.1,false
525,Sibelle,Älvdalen,6842184749,4.3,false
526,Rodolfo,Xuefu,5016608875,5.0,true
527,Robbyn,Cangkreng,8442925611,6.9,false
528,Roseanne,Krasnokumskoye,7481211319,4.2,true
529,Sheela,Psevdás,5419676074,4.3,false
530,Katha,Flushing,3478190699,4.1,false
531,Fifine,Köping,7315145820,6.8,true
532,Freeman,Purda,1297299153,6.4,false
533,Amalea,Waxi,9858443355,5.2,false
534,Brennan,Fengcun,3994184500,6.9,true
535,Tuck,Nirji,6225271037,5.3,true
536,Zacharie,Kongjiafang,1752078683,4.3,false
537,Alisander,Xiahong,4533081185,6.3,true
538,Michaelina,Kabakovo,1165208966,6.8,true
539,Florry,Kinmparana,3322435219,6.3,true
540,Wally,Banjar Budakeling,5144207420,5.1,false
541,Marnie,Conner,8698668757,4.2,false
542,Brig,Llorente,8797594285,6.8,true
543,Aaren,Aldeia de Juzo,9285077134,5.1,false
544,Yoshi,Akoupé,8635116695,5.4,false
545,Licha,Nakło nad Notecią,9908888998,5.1,false
546,Chris,Krajan Ngerdani,9179229672,5.8,true
547,Janice,Charlottetown,2249703267,4.7,false
548,Karlen,Ochla,9255492774,4.2,true
549,Cesya,Rila,1939156851,5.0,true
550,Reggie,Yenagoa,3215456765,6.3,true
551,Tracey,Heerlen,1339195805,6.3,false
552,Doy,Ambarita,4305200123,5.4,true
553,Elias,Cortinhas,5597026858,4.2,false
554,Nathalie,Kangshan,6433764102,4.2,true
555,Yvette,Borūjen,4077629662,5.9,true
556,Evita,Gnojnica,5638538445,4.2,true
557,Boy,Kalvola,7482493903,4.9,true
558,Jaime,Nārang,6481431878,5.3,false
559,Barton,Guzhuyingzi,9597701657,4.1,true
560,Magdaia,Saint-Maurice,7283662214,4.3,true
561,Melessa,Portela,7486322450,4.5,true
562,Jaine,Nila Dua,8125530981,4.1,true
563,Bay,Nierumai,1408990971,5.6,false
564,Sigrid,Coronda,5323768478,4.5,true
565,Tarah,Babakankadu,3509647451,6.9,true
566,Orelia,Obolo-Eke (1),7455047382,5.3,true
567,Currie,Ndewel,8379398905,5.0,false
568,Irwinn,Khilok,5861945749,6.4,true
